node_id,node_reward_type,region,dc_id,day,status,subnet_assigned,subnet_assigned_fr,num_blocks_proposed,num_blocks_failed,original_fr,relative_fr,extrapolated_fr,performance_multiplier,rewards_reduction,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad
ufgcf,Type1dot1,"North America,US,Illinois",ch2,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
ufgcf,Type1dot1,"North America,US,Illinois",ch2,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
hjyoa,Type1dot1,"North America,US,Illinois",ch2,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,14-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,15-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,16-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,17-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,18-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,19-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,20-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,21-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,22-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,23-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,24-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,25-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,26-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,27-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,28-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,29-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,30-06-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,01-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,02-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,03-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,04-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,05-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,06-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,07-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,08-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,09-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,10-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,11-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,12-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
s4nii,Type1dot1,"North America,US,Illinois",ch2,13-07-2025,unassigned,,,,,,,0.0000,1.0000,0.0000,329856.2628,329856.2628
